,Unnamed: 0,Attribute,Description,Value,Meaning
963,,KBA05_KW3,share of cars with an engine power of more than 119 KW,"-1, 9",unknown
964,,KBA05_KW3,share of cars with an engine power of more than 119 KW,0,none
965,,KBA05_KW3,share of cars with an engine power of more than 119 KW,1,low
966,,KBA05_KW3,share of cars with an engine power of more than 119 KW,2,average
967,,KBA05_KW3,share of cars with an engine power of more than 119 KW,3,high
968,,KBA05_KW3,share of cars with an engine power of more than 119 KW,4,very high
969,,KBA05_MAXAH,most common age of car owners in the microcell,"-1, 9",unknown
970,,KBA05_MAXAH,most common age of car owners in the microcell,1,below 30 years
971,,KBA05_MAXAH,most common age of car owners in the microcell,2,30 - 40 years
972,,KBA05_MAXAH,most common age of car owners in the microcell,3,40 - 50 years
973,,KBA05_MAXAH,most common age of car owners in the microcell,4,50 - 60 years
974,,KBA05_MAXAH,most common age of car owners in the microcell,5,elder than 60 years
975,,KBA05_MAXBJ,most common age of the cars in the microcell,"-1, 9",unknown
976,,KBA05_MAXBJ,most common age of the cars in the microcell,1,before 1994
977,,KBA05_MAXBJ,most common age of the cars in the microcell,2,1994 - 1997
978,,KBA05_MAXBJ,most common age of the cars in the microcell,3,1998 - 2000
979,,KBA05_MAXBJ,most common age of the cars in the microcell,4,since 2001
980,,KBA05_MAXHERST,most common car manufacturer in the microcell,"-1, 9",unknown
981,,KBA05_MAXHERST,most common car manufacturer in the microcell,1,Top-German
982,,KBA05_MAXHERST,most common car manufacturer in the microcell,2,VW-Audi
983,,KBA05_MAXHERST,most common car manufacturer in the microcell,3,Ford/Opel
984,,KBA05_MAXHERST,most common car manufacturer in the microcell,4,European
985,,KBA05_MAXHERST,most common car manufacturer in the microcell,5,Asian
986,,KBA05_MAXSEG,most common car segment in the microcell,"-1, 9",unknown
987,,KBA05_MAXSEG,most common car segment in the microcell,1,small car
988,,KBA05_MAXSEG,most common car segment in the microcell,2,lower middleclass car
989,,KBA05_MAXSEG,most common car segment in the microcell,3,middle class car
990,,KBA05_MAXSEG,most common car segment in the microcell,4,upper class car
991,,KBA05_MAXVORB,most common preowner structure in the microcell,"-1, 9",unknown
992,,KBA05_MAXVORB,most common preowner structure in the microcell,1,no preowner
993,,KBA05_MAXVORB,most common preowner structure in the microcell,2,1 preowner
994,,KBA05_MAXVORB,most common preowner structure in the microcell,3,2 or more preowner
995,,KBA05_MOD1,share of upper class cars (in an AZ specific definition),"-1, 9",unknown
996,,KBA05_MOD1,share of upper class cars (in an AZ specific definition),0,none
997,,KBA05_MOD1,share of upper class cars (in an AZ specific definition),1,low
998,,KBA05_MOD1,share of upper class cars (in an AZ specific definition),2,average
999,,KBA05_MOD1,share of upper class cars (in an AZ specific definition),3,high
1000,,KBA05_MOD1,share of upper class cars (in an AZ specific definition),4,very high
1001,,KBA05_MOD2,share of middle class cars (in an AZ specific definition),"-1, 9",unknown
1002,,KBA05_MOD2,share of middle class cars (in an AZ specific definition),1,very low
1003,,KBA05_MOD2,share of middle class cars (in an AZ specific definition),2,low
1004,,KBA05_MOD2,share of middle class cars (in an AZ specific definition),3,average
1005,,KBA05_MOD2,share of middle class cars (in an AZ specific definition),4,high
1006,,KBA05_MOD2,share of middle class cars (in an AZ specific definition),5,very high
1007,,KBA05_MOD3,share of Golf-class cars (in an AZ specific definition),"-1, 9",unknown
1008,,KBA05_MOD3,share of Golf-class cars (in an AZ specific definition),1,very low
1009,,KBA05_MOD3,share of Golf-class cars (in an AZ specific definition),2,low
1010,,KBA05_MOD3,share of Golf-class cars (in an AZ specific definition),3,average
1011,,KBA05_MOD3,share of Golf-class cars (in an AZ specific definition),4,high
1012,,KBA05_MOD3,share of Golf-class cars (in an AZ specific definition),5,very high
1013,,KBA05_MOD4,share of small cars (in an AZ specific definition),"-1, 9",unknown
1014,,KBA05_MOD4,share of small cars (in an AZ specific definition),0,none
1015,,KBA05_MOD4,share of small cars (in an AZ specific definition),1,very low
1016,,KBA05_MOD4,share of small cars (in an AZ specific definition),2,low
1017,,KBA05_MOD4,share of small cars (in an AZ specific definition),3,average
1018,,KBA05_MOD4,share of small cars (in an AZ specific definition),4,high
1019,,KBA05_MOD4,share of small cars (in an AZ specific definition),5,very high
1020,,KBA05_MOD8,share of vans (in an AZ specific definition),"-1, 9",unknown
1021,,KBA05_MOD8,share of vans (in an AZ specific definition),0,none
1022,,KBA05_MOD8,share of vans (in an AZ specific definition),1,low
1023,,KBA05_MOD8,share of vans (in an AZ specific definition),2,average
1024,,KBA05_MOD8,share of vans (in an AZ specific definition),3,high
1025,,KBA05_MODTEMP,development of the most common car segment in the neighbourhood,"-1, 9",unknown
1026,,KBA05_MODTEMP,development of the most common car segment in the neighbourhood,1,promoted
1027,,KBA05_MODTEMP,development of the most common car segment in the neighbourhood,2,stayed upper level
1028,,KBA05_MODTEMP,development of the most common car segment in the neighbourhood,3,stayed lower/average level
1029,,KBA05_MODTEMP,development of the most common car segment in the neighbourhood,4,demoted
1030,,KBA05_MODTEMP,development of the most common car segment in the neighbourhood,5,new building
1031,,KBA05_MOTOR,most common engine size in the microcell,"-1, 9",unknown
1032,,KBA05_MOTOR,most common engine size in the microcell,1,very small engine
1033,,KBA05_MOTOR,most common engine size in the microcell,2,small engine
1034,,KBA05_MOTOR,most common engine size in the microcell,3,average engine
1035,,KBA05_MOTOR,most common engine size in the microcell,4,big engine
1036,,KBA05_MOTRAD,share of motorcycles per household,"-1, 9",unknown
1037,,KBA05_MOTRAD,share of motorcycles per household,0,none
1038,,KBA05_MOTRAD,share of motorcycles per household,1,some
1039,,KBA05_MOTRAD,share of motorcycles per household,2,some more
1040,,KBA05_MOTRAD,share of motorcycles per household,3,very many
1041,,KBA05_SEG1,share of very small cars (Ford Ka etc.) in the microcell,"-1, 9",unknown
1042,,KBA05_SEG1,share of very small cars (Ford Ka etc.) in the microcell,0,none
1043,,KBA05_SEG1,share of very small cars (Ford Ka etc.) in the microcell,1,low
1044,,KBA05_SEG1,share of very small cars (Ford Ka etc.) in the microcell,2,average
1045,,KBA05_SEG1,share of very small cars (Ford Ka etc.) in the microcell,3,high
1046,,KBA05_SEG10,"share of more specific cars (Vans, convertables, all-terrains, MUVs etc.)","-1, 9",unknown
1047,,KBA05_SEG10,"share of more specific cars (Vans, convertables, all-terrains, MUVs etc.)",0,none
1048,,KBA05_SEG10,"share of more specific cars (Vans, convertables, all-terrains, MUVs etc.)",1,very low
1049,,KBA05_SEG10,"share of more specific cars (Vans, convertables, all-terrains, MUVs etc.)",2,low
1050,,KBA05_SEG10,"share of more specific cars (Vans, convertables, all-terrains, MUVs etc.)",3,average
1051,,KBA05_SEG10,"share of more specific cars (Vans, convertables, all-terrains, MUVs etc.)",4,high
1052,,KBA05_SEG2,"share of small and very small cars (Ford Fiesta, Ford Ka etc.) in the microcell","-1, 9",unknown
1053,,KBA05_SEG2,"share of small and very small cars (Ford Fiesta, Ford Ka etc.) in the microcell",1,very low
1054,,KBA05_SEG2,"share of small and very small cars (Ford Fiesta, Ford Ka etc.) in the microcell",2,low
1055,,KBA05_SEG2,"share of small and very small cars (Ford Fiesta, Ford Ka etc.) in the microcell",3,average
1056,,KBA05_SEG2,"share of small and very small cars (Ford Fiesta, Ford Ka etc.) in the microcell",4,high
1057,,KBA05_SEG2,"share of small and very small cars (Ford Fiesta, Ford Ka etc.) in the microcell",5,very high
1058,,KBA05_SEG3,share of lowe midclass cars (Ford Focus etc.) in the microcell,"-1, 9",unknown
1059,,KBA05_SEG3,share of lowe midclass cars (Ford Focus etc.) in the microcell,1,very low
1060,,KBA05_SEG3,share of lowe midclass cars (Ford Focus etc.) in the microcell,2,low
1061,,KBA05_SEG3,share of lowe midclass cars (Ford Focus etc.) in the microcell,3,average
1062,,KBA05_SEG3,share of lowe midclass cars (Ford Focus etc.) in the microcell,4,high
1063,,KBA05_SEG3,share of lowe midclass cars (Ford Focus etc.) in the microcell,5,very high
1064,,KBA05_SEG4,share of middle class cars (Ford Mondeo etc.) in the microcell,"-1, 9",unknown
1065,,KBA05_SEG4,share of middle class cars (Ford Mondeo etc.) in the microcell,1,very low
1066,,KBA05_SEG4,share of middle class cars (Ford Mondeo etc.) in the microcell,2,low
1067,,KBA05_SEG4,share of middle class cars (Ford Mondeo etc.) in the microcell,3,average
1068,,KBA05_SEG4,share of middle class cars (Ford Mondeo etc.) in the microcell,4,high
1069,,KBA05_SEG4,share of middle class cars (Ford Mondeo etc.) in the microcell,5,very high
1070,,KBA05_SEG5,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)","-1, 9",unknown
1071,,KBA05_SEG5,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",0,none
1072,,KBA05_SEG5,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",1,very low
1073,,KBA05_SEG5,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",2,low
1074,,KBA05_SEG5,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",3,average
1075,,KBA05_SEG5,"share of upper middle class cars and upper class cars (BMW5er, BMW7er etc.)",4,high
1076,,KBA05_SEG6,share of upper class cars (BMW 7er etc.) in the microcell,"-1, 9",unknown
1077,,KBA05_SEG6,share of upper class cars (BMW 7er etc.) in the microcell,0,none
1078,,KBA05_SEG6,share of upper class cars (BMW 7er etc.) in the microcell,1,some
1079,,KBA05_SEG7,share of all-terrain vehicles and MUVs in the microcell,"-1, 9",unknown
1080,,KBA05_SEG7,share of all-terrain vehicles and MUVs in the microcell,0,none
1081,,KBA05_SEG7,share of all-terrain vehicles and MUVs in the microcell,1,low
1082,,KBA05_SEG7,share of all-terrain vehicles and MUVs in the microcell,2,average
1083,,KBA05_SEG7,share of all-terrain vehicles and MUVs in the microcell,3,high
1084,,KBA05_SEG8,share of roadster and convertables in the microcell,"-1, 9",unknown
1085,,KBA05_SEG8,share of roadster and convertables in the microcell,0,none
1086,,KBA05_SEG8,share of roadster and convertables in the microcell,1,low
1087,,KBA05_SEG8,share of roadster and convertables in the microcell,2,average
1088,,KBA05_SEG8,share of roadster and convertables in the microcell,3,high
1089,,KBA05_SEG9,share of vans in the microcell,"-1, 9",unknown
1090,,KBA05_SEG9,share of vans in the microcell,0,none
1091,,KBA05_SEG9,share of vans in the microcell,1,low
1092,,KBA05_SEG9,share of vans in the microcell,2,average
1093,,KBA05_SEG9,share of vans in the microcell,3,high
1094,,KBA05_VORB0,share of cars with no preowner,"-1, 9",unknown
1095,,KBA05_VORB0,share of cars with no preowner,1,very low
1096,,KBA05_VORB0,share of cars with no preowner,2,low
1097,,KBA05_VORB0,share of cars with no preowner,3,average
1098,,KBA05_VORB0,share of cars with no preowner,4,high
1099,,KBA05_VORB0,share of cars with no preowner,5,very high
1100,,KBA05_VORB1,share of cars with one or two preowner,"-1, 9",unknown
1101,,KBA05_VORB1,share of cars with one or two preowner,1,very low
1102,,KBA05_VORB1,share of cars with one or two preowner,2,low
1103,,KBA05_VORB1,share of cars with one or two preowner,3,average
1104,,KBA05_VORB1,share of cars with one or two preowner,4,high
1105,,KBA05_VORB1,share of cars with one or two preowner,5,very high
1106,,KBA05_VORB2,share of cars with more than two preowner,"-1, 9",unknown
1107,,KBA05_VORB2,share of cars with more than two preowner,0,none
1108,,KBA05_VORB2,share of cars with more than two preowner,1,very low
1109,,KBA05_VORB2,share of cars with more than two preowner,2,low
1110,,KBA05_VORB2,share of cars with more than two preowner,3,average
1111,,KBA05_VORB2,share of cars with more than two preowner,4,high
1112,,KBA05_VORB2,share of cars with more than two preowner,5,very high
1113,,KBA05_ZUL1,share of cars built before 1994,"-1, 9",unknown
1114,,KBA05_ZUL1,share of cars built before 1994,1,very low
1115,,KBA05_ZUL1,share of cars built before 1994,2,low
1116,,KBA05_ZUL1,share of cars built before 1994,3,average
1117,,KBA05_ZUL1,share of cars built before 1994,4,high
1118,,KBA05_ZUL1,share of cars built before 1994,5,very high
1119,,KBA05_ZUL2,share of cars built between 1994 and 2000,"-1, 9",unknown
1120,,KBA05_ZUL2,share of cars built between 1994 and 2000,1,very low
1121,,KBA05_ZUL2,share of cars built between 1994 and 2000,2,low
1122,,KBA05_ZUL2,share of cars built between 1994 and 2000,3,average
1123,,KBA05_ZUL2,share of cars built between 1994 and 2000,4,high
1124,,KBA05_ZUL2,share of cars built between 1994 and 2000,5,very high
1125,,KBA05_ZUL3,share of cars built between 2001 and 2002,"-1, 9",unknown
1126,,KBA05_ZUL3,share of cars built between 2001 and 2002,0,none
1127,,KBA05_ZUL3,share of cars built between 2001 and 2002,1,very low
1128,,KBA05_ZUL3,share of cars built between 2001 and 2002,2,low
1129,,KBA05_ZUL3,share of cars built between 2001 and 2002,3,average
1130,,KBA05_ZUL3,share of cars built between 2001 and 2002,4,high
1131,,KBA05_ZUL3,share of cars built between 2001 and 2002,5,very high
1132,,KBA05_ZUL4,share of cars built from 2003 on,"-1, 9",unknown
1133,,KBA05_ZUL4,share of cars built from 2003 on,0,none
1134,,KBA05_ZUL4,share of cars built from 2003 on,1,very low
1135,,KBA05_ZUL4,share of cars built from 2003 on,2,low
1136,,KBA05_ZUL4,share of cars built from 2003 on,3,average
1137,,KBA05_ZUL4,share of cars built from 2003 on,4,high
1138,,KBA05_ZUL4,share of cars built from 2003 on,5,very high
1139,,KBA13_ALTERHALTER_30,share of car owners below 31 within the PLZ8,-1,unknown
1140,,KBA13_ALTERHALTER_30,share of car owners below 31 within the PLZ8,0,none
1141,,KBA13_ALTERHALTER_30,share of car owners below 31 within the PLZ8,1,very low
1142,,KBA13_ALTERHALTER_30,share of car owners below 31 within the PLZ8,2,low
1143,,KBA13_ALTERHALTER_30,share of car owners below 31 within the PLZ8,3,average
1144,,KBA13_ALTERHALTER_30,share of car owners below 31 within the PLZ8,4,high
1145,,KBA13_ALTERHALTER_30,share of car owners below 31 within the PLZ8,5,very high
1146,,KBA13_ALTERHALTER_45,share of car owners between 31 and 45 within the PLZ8,-1,unknown
1147,,KBA13_ALTERHALTER_45,share of car owners between 31 and 45 within the PLZ8,0,none
1148,,KBA13_ALTERHALTER_45,share of car owners between 31 and 45 within the PLZ8,1,very low
1149,,KBA13_ALTERHALTER_45,share of car owners between 31 and 45 within the PLZ8,2,low
1150,,KBA13_ALTERHALTER_45,share of car owners between 31 and 45 within the PLZ8,3,average
1151,,KBA13_ALTERHALTER_45,share of car owners between 31 and 45 within the PLZ8,4,high
1152,,KBA13_ALTERHALTER_45,share of car owners between 31 and 45 within the PLZ8,5,very high
1153,,KBA13_ALTERHALTER_60,share of car owners between 46 and 60 within the PLZ8,-1,unknown
1154,,KBA13_ALTERHALTER_60,share of car owners between 46 and 60 within the PLZ8,0,none
1155,,KBA13_ALTERHALTER_60,share of car owners between 46 and 60 within the PLZ8,1,very low
1156,,KBA13_ALTERHALTER_60,share of car owners between 46 and 60 within the PLZ8,2,low
1157,,KBA13_ALTERHALTER_60,share of car owners between 46 and 60 within the PLZ8,3,average
1158,,KBA13_ALTERHALTER_60,share of car owners between 46 and 60 within the PLZ8,4,high
1159,,KBA13_ALTERHALTER_60,share of car owners between 46 and 60 within the PLZ8,5,very high
1160,,KBA13_ALTERHALTER_61,share of car owners elder than 61 within the PLZ8,-1,unknown
1161,,KBA13_ALTERHALTER_61,share of car owners elder than 61 within the PLZ8,0,none
1162,,KBA13_ALTERHALTER_61,share of car owners elder than 61 within the PLZ8,1,very low
1163,,KBA13_ALTERHALTER_61,share of car owners elder than 61 within the PLZ8,2,low
1164,,KBA13_ALTERHALTER_61,share of car owners elder than 61 within the PLZ8,3,average
1165,,KBA13_ALTERHALTER_61,share of car owners elder than 61 within the PLZ8,4,high
1166,,KBA13_ALTERHALTER_61,share of car owners elder than 61 within the PLZ8,5,very high
1167,,KBA13_ANZAHL_PKW,number of cars in the PLZ8,…,numeric value
1168,,KBA13_AUDI,share of AUDI within the PLZ8,-1,unknown
1169,,KBA13_AUDI,share of AUDI within the PLZ8,0,none
1170,,KBA13_AUDI,share of AUDI within the PLZ8,1,very low
1171,,KBA13_AUDI,share of AUDI within the PLZ8,2,low
1172,,KBA13_AUDI,share of AUDI within the PLZ8,3,average
1173,,KBA13_AUDI,share of AUDI within the PLZ8,4,high
1174,,KBA13_AUDI,share of AUDI within the PLZ8,5,very high
1175,,KBA13_AUTOQUOTE,share of cars per household within the PLZ8,-1,unknown
1176,,KBA13_AUTOQUOTE,share of cars per household within the PLZ8,0,none
1177,,KBA13_AUTOQUOTE,share of cars per household within the PLZ8,1,very low
1178,,KBA13_AUTOQUOTE,share of cars per household within the PLZ8,2,low
1179,,KBA13_AUTOQUOTE,share of cars per household within the PLZ8,3,average
1180,,KBA13_AUTOQUOTE,share of cars per household within the PLZ8,4,high
1181,,KBA13_AUTOQUOTE,share of cars per household within the PLZ8,5,very high
1182,,KBA13_BJ_1999,share of cars built between 1995 and 1999 within the PLZ8,-1,unknown
1183,,KBA13_BJ_1999,share of cars built between 1995 and 1999 within the PLZ8,0,none
1184,,KBA13_BJ_1999,share of cars built between 1995 and 1999 within the PLZ8,1,very low
1185,,KBA13_BJ_1999,share of cars built between 1995 and 1999 within the PLZ8,2,low
1186,,KBA13_BJ_1999,share of cars built between 1995 and 1999 within the PLZ8,3,average
1187,,KBA13_BJ_1999,share of cars built between 1995 and 1999 within the PLZ8,4,high
1188,,KBA13_BJ_1999,share of cars built between 1995 and 1999 within the PLZ8,5,very high
1189,,KBA13_BJ_2000,share of cars built between 2000 and 2003 within the PLZ8,-1,unknown
1190,,KBA13_BJ_2000,share of cars built between 2000 and 2003 within the PLZ8,0,none
1191,,KBA13_BJ_2000,share of cars built between 2000 and 2003 within the PLZ8,1,very low
1192,,KBA13_BJ_2000,share of cars built between 2000 and 2003 within the PLZ8,2,low
1193,,KBA13_BJ_2000,share of cars built between 2000 and 2003 within the PLZ8,3,average
1194,,KBA13_BJ_2000,share of cars built between 2000 and 2003 within the PLZ8,4,high
1195,,KBA13_BJ_2000,share of cars built between 2000 and 2003 within the PLZ8,5,very high
1196,,KBA13_BJ_2004,share of cars built before 2004 within the PLZ8,-1,unknown
1197,,KBA13_BJ_2004,share of cars built before 2004 within the PLZ8,0,none
1198,,KBA13_BJ_2004,share of cars built before 2004 within the PLZ8,1,very low
1199,,KBA13_BJ_2004,share of cars built before 2004 within the PLZ8,2,low
1200,,KBA13_BJ_2004,share of cars built before 2004 within the PLZ8,3,average
1201,,KBA13_BJ_2004,share of cars built before 2004 within the PLZ8,4,high
1202,,KBA13_BJ_2004,share of cars built before 2004 within the PLZ8,5,very high
1203,,KBA13_BJ_2006,share of cars built between 2005 and 2006 within the PLZ8,-1,unknown
1204,,KBA13_BJ_2006,share of cars built between 2005 and 2006 within the PLZ8,0,none
1205,,KBA13_BJ_2006,share of cars built between 2005 and 2006 within the PLZ8,1,very low
1206,,KBA13_BJ_2006,share of cars built between 2005 and 2006 within the PLZ8,2,low
1207,,KBA13_BJ_2006,share of cars built between 2005 and 2006 within the PLZ8,3,average
1208,,KBA13_BJ_2006,share of cars built between 2005 and 2006 within the PLZ8,4,high
1209,,KBA13_BJ_2006,share of cars built between 2005 and 2006 within the PLZ8,5,very high
1210,,KBA13_BJ_2008,share of cars built in 2008 within the PLZ8,-1,unknown
1211,,KBA13_BJ_2008,share of cars built in 2008 within the PLZ8,0,none
1212,,KBA13_BJ_2008,share of cars built in 2008 within the PLZ8,1,very low
1213,,KBA13_BJ_2008,share of cars built in 2008 within the PLZ8,2,low
1214,,KBA13_BJ_2008,share of cars built in 2008 within the PLZ8,3,average
1215,,KBA13_BJ_2008,share of cars built in 2008 within the PLZ8,4,high
1216,,KBA13_BJ_2008,share of cars built in 2008 within the PLZ8,5,very high
1217,,KBA13_BJ_2009,share of cars built in 2009 within the PLZ8,-1,unknown
1218,,KBA13_BJ_2009,share of cars built in 2009 within the PLZ8,0,none
1219,,KBA13_BJ_2009,share of cars built in 2009 within the PLZ8,1,very low
1220,,KBA13_BJ_2009,share of cars built in 2009 within the PLZ8,2,low
1221,,KBA13_BJ_2009,share of cars built in 2009 within the PLZ8,3,average
1222,,KBA13_BJ_2009,share of cars built in 2009 within the PLZ8,4,high
1223,,KBA13_BJ_2009,share of cars built in 2009 within the PLZ8,5,very high
1224,,KBA13_BMW,share of BMW within the PLZ8,-1,unknown
1225,,KBA13_BMW,share of BMW within the PLZ8,0,none
1226,,KBA13_BMW,share of BMW within the PLZ8,1,very low
1227,,KBA13_BMW,share of BMW within the PLZ8,2,low
1228,,KBA13_BMW,share of BMW within the PLZ8,3,average
1229,,KBA13_BMW,share of BMW within the PLZ8,4,high
1230,,KBA13_BMW,share of BMW within the PLZ8,5,very high
1231,,KBA13_CCM_1000,share of cars with less than 1000ccm within the PLZ8,-1,unknown
1232,,KBA13_CCM_1000,share of cars with less than 1000ccm within the PLZ8,0,none
1233,,KBA13_CCM_1000,share of cars with less than 1000ccm within the PLZ8,1,very low
1234,,KBA13_CCM_1000,share of cars with less than 1000ccm within the PLZ8,2,low
1235,,KBA13_CCM_1000,share of cars with less than 1000ccm within the PLZ8,3,average
1236,,KBA13_CCM_1000,share of cars with less than 1000ccm within the PLZ8,4,high
1237,,KBA13_CCM_1000,share of cars with less than 1000ccm within the PLZ8,5,very high
1238,,KBA13_CCM_1200,share of cars with 1000ccm to 1199ccm within the PLZ8,-1,unknown
1239,,KBA13_CCM_1200,share of cars with 1000ccm to 1199ccm within the PLZ8,0,none
1240,,KBA13_CCM_1200,share of cars with 1000ccm to 1199ccm within the PLZ8,1,very low
1241,,KBA13_CCM_1200,share of cars with 1000ccm to 1199ccm within the PLZ8,2,low
1242,,KBA13_CCM_1200,share of cars with 1000ccm to 1199ccm within the PLZ8,3,average
1243,,KBA13_CCM_1200,share of cars with 1000ccm to 1199ccm within the PLZ8,4,high
1244,,KBA13_CCM_1200,share of cars with 1000ccm to 1199ccm within the PLZ8,5,very high
1245,,KBA13_CCM_1400,share of cars with 1200ccm to 1399ccm within the PLZ8,-1,unknown
1246,,KBA13_CCM_1400,share of cars with 1200ccm to 1399ccm within the PLZ8,0,none
1247,,KBA13_CCM_1400,share of cars with 1200ccm to 1399ccm within the PLZ8,1,very low
1248,,KBA13_CCM_1400,share of cars with 1200ccm to 1399ccm within the PLZ8,2,low
1249,,KBA13_CCM_1400,share of cars with 1200ccm to 1399ccm within the PLZ8,3,average
1250,,KBA13_CCM_1400,share of cars with 1200ccm to 1399ccm within the PLZ8,4,high
1251,,KBA13_CCM_1400,share of cars with 1200ccm to 1399ccm within the PLZ8,5,very high
1252,,KBA13_CCM_0_1400,share of cars with less than 1400ccm within the PLZ8,-1,unknown
1253,,KBA13_CCM_0_1400,share of cars with less than 1400ccm within the PLZ8,0,none
1254,,KBA13_CCM_0_1400,share of cars with less than 1400ccm within the PLZ8,1,very low
1255,,KBA13_CCM_0_1400,share of cars with less than 1400ccm within the PLZ8,2,low
1256,,KBA13_CCM_0_1400,share of cars with less than 1400ccm within the PLZ8,3,average
1257,,KBA13_CCM_0_1400,share of cars with less than 1400ccm within the PLZ8,4,high
1258,,KBA13_CCM_0_1400,share of cars with less than 1400ccm within the PLZ8,5,very high
1259,,KBA13_CCM_1500,share of cars with 1400ccm to 1499ccm within the PLZ8,-1,unknown
1260,,KBA13_CCM_1500,share of cars with 1400ccm to 1499ccm within the PLZ8,0,none
1261,,KBA13_CCM_1500,share of cars with 1400ccm to 1499ccm within the PLZ8,1,very low
1262,,KBA13_CCM_1500,share of cars with 1400ccm to 1499ccm within the PLZ8,2,low
1263,,KBA13_CCM_1500,share of cars with 1400ccm to 1499ccm within the PLZ8,3,average
1264,,KBA13_CCM_1500,share of cars with 1400ccm to 1499ccm within the PLZ8,4,high
1265,,KBA13_CCM_1500,share of cars with 1400ccm to 1499ccm within the PLZ8,5,very high
1273,,KBA13_CCM_1600,share of cars with 1500ccm to 1599ccm within the PLZ8,-1,unknown
1274,,KBA13_CCM_1600,share of cars with 1500ccm to 1599ccm within the PLZ8,0,none
1275,,KBA13_CCM_1600,share of cars with 1500ccm to 1599ccm within the PLZ8,1,very low
1276,,KBA13_CCM_1600,share of cars with 1500ccm to 1599ccm within the PLZ8,2,low
1277,,KBA13_CCM_1600,share of cars with 1500ccm to 1599ccm within the PLZ8,3,average
1278,,KBA13_CCM_1600,share of cars with 1500ccm to 1599ccm within the PLZ8,4,high
1279,,KBA13_CCM_1600,share of cars with 1500ccm to 1599ccm within the PLZ8,5,very high
1280,,KBA13_CCM_1800,share of cars with 1600ccm to 1799ccm within the PLZ8,-1,unknown
1281,,KBA13_CCM_1800,share of cars with 1600ccm to 1799ccm within the PLZ8,0,none
1282,,KBA13_CCM_1800,share of cars with 1600ccm to 1799ccm within the PLZ8,1,very low
1283,,KBA13_CCM_1800,share of cars with 1600ccm to 1799ccm within the PLZ8,2,low
1284,,KBA13_CCM_1800,share of cars with 1600ccm to 1799ccm within the PLZ8,3,average
1285,,KBA13_CCM_1800,share of cars with 1600ccm to 1799ccm within the PLZ8,4,high
1286,,KBA13_CCM_1800,share of cars with 1600ccm to 1799ccm within the PLZ8,5,very high
1287,,KBA13_CCM_2000,share of cars with 1800ccm to 1999ccm within the PLZ8,-1,unknown
1288,,KBA13_CCM_2000,share of cars with 1800ccm to 1999ccm within the PLZ8,0,none
1289,,KBA13_CCM_2000,share of cars with 1800ccm to 1999ccm within the PLZ8,1,very low
1290,,KBA13_CCM_2000,share of cars with 1800ccm to 1999ccm within the PLZ8,2,low
1291,,KBA13_CCM_2000,share of cars with 1800ccm to 1999ccm within the PLZ8,3,average
1292,,KBA13_CCM_2000,share of cars with 1800ccm to 1999ccm within the PLZ8,4,high
1293,,KBA13_CCM_2000,share of cars with 1800ccm to 1999ccm within the PLZ8,5,very high
1294,,KBA13_CCM_2500,share of cars with 2000ccm to 2499ccm within the PLZ8,-1,unknown
1295,,KBA13_CCM_2500,share of cars with 2000ccm to 2499ccm within the PLZ8,0,none
1296,,KBA13_CCM_2500,share of cars with 2000ccm to 2499ccm within the PLZ8,1,very low
1297,,KBA13_CCM_2500,share of cars with 2000ccm to 2499ccm within the PLZ8,2,low
1298,,KBA13_CCM_2500,share of cars with 2000ccm to 2499ccm within the PLZ8,3,average
1299,,KBA13_CCM_2500,share of cars with 2000ccm to 2499ccm within the PLZ8,4,high
1300,,KBA13_CCM_2500,share of cars with 2000ccm to 2499ccm within the PLZ8,5,very high
1301,,KBA13_CCM_2501,share of cars with more than 2500ccm within the PLZ8,-1,unknown
1302,,KBA13_CCM_2501,share of cars with more than 2500ccm within the PLZ8,0,none
1303,,KBA13_CCM_2501,share of cars with more than 2500ccm within the PLZ8,1,very low
1304,,KBA13_CCM_2501,share of cars with more than 2500ccm within the PLZ8,2,low
1305,,KBA13_CCM_2501,share of cars with more than 2500ccm within the PLZ8,3,average
1306,,KBA13_CCM_2501,share of cars with more than 2500ccm within the PLZ8,4,high
1307,,KBA13_CCM_2501,share of cars with more than 2500ccm within the PLZ8,5,very high
1308,,KBA13_CCM_3000,share of cars with 2500ccm to 2999ccm within the PLZ8,-1,unknown
1309,,KBA13_CCM_3000,share of cars with 2500ccm to 2999ccm within the PLZ8,0,none
1310,,KBA13_CCM_3000,share of cars with 2500ccm to 2999ccm within the PLZ8,1,very low
1311,,KBA13_CCM_3000,share of cars with 2500ccm to 2999ccm within the PLZ8,2,low
1312,,KBA13_CCM_3000,share of cars with 2500ccm to 2999ccm within the PLZ8,3,average
1313,,KBA13_CCM_3000,share of cars with 2500ccm to 2999ccm within the PLZ8,4,high
1314,,KBA13_CCM_3000,share of cars with 2500ccm to 2999ccm within the PLZ8,5,very high
1315,,KBA13_CCM_3001,share of cars with more than 3000ccm within the PLZ8,-1,unknown
1316,,KBA13_CCM_3001,share of cars with more than 3000ccm within the PLZ8,0,none
